kelompok,ruas,sk_tarif,tanggal_sk,sistem,asal,tujuan,gol_I,gol_II_III,gol_IV_V,sumber
Jabodetabek,6 (Enam) Ruas Dalam Kota Jakarta Seksi A (Kelapa Gading-Pulo Gebang),KEPMEN PUPR Nomor 544/KPTS/M/2024,29 Februari 2024,tertutup,Kelapa Gading,Pulogebang,22000,33000,44000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Akses Tanjung Priuk,KEPMEN PUPR Nomor 1604/KPTS/M/2023,16 November 2023,tertutup,Akses Tanjung Priok,"Seksi E1,E2,E2A",17000,25000,33500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Bekasi-Cawang-Kampung Melayu,KEPMEN PUPR Nomor 685/KPTS/M/2025,22 Juli 2025,tertutup,Casablanca,GT Bintara Jaya dan Jakasampurna,23000,34000,45500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Bekasi-Cawang-Kampung Melayu,KEPMEN PUPR Nomor 685/KPTS/M/2025,22 Juli 2025,tertutup,Casablanca,GT Jatiwaringin 1 dan 2,10500,16000,21000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Bekasi-Cawang-Kampung Melayu,KEPMEN PUPR Nomor 685/KPTS/M/2025,22 Juli 2025,tertutup,Casablanca,GT Marga Jaya 1 dan 2,29000,43500,58000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Bekasi-Cawang-Kampung Melayu,KEPMEN PUPR Nomor 685/KPTS/M/2025,22 Juli 2025,tertutup,Casablanca,GT Pondok Kelapa 1 dan 2,16000,24000,32000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Bogor Ring Road Seksi I-IIIA (Sentul Selatan-Simpang Semplak),KEPMEN PUPR Nomor 398/KPTS/M/2025,26 Maret 2025,tertutup,Sentul Selatan,Simpang Semplak,15000,22500,30000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cawang-Tj. Priok-Ancol Timur-Jembatan Tiga/Pluit,KEPMEN PUPR Nomor 2130/KPTS/M/2024,22 Agustus 2024,tertutup,Cawang,Jembatan Tiga/Pluit,11000,16500,19000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cawang-Tomang-Pluit (CTC),KEPMEN PUPR Nomor 2130/KPTS/M/2024,22 Agustus 2024,tertutup,Cawang,Pluit,11000,16500,19000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,Benda Utama,Jc Kunciran,22500,33500,45000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,Benda Utama,Pinang,19000,28000,37500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,Benda Utama,Tanah Tinggi,10500,16000,21000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,Buaran Indah,Jc Kunciran,9000,13000,17500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,Buaran Indah,Pinang,5000,8000,10500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,JC Benda,JC Kunciran,27000,41000,54500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,JC Benda,Pinang,23500,35500,47000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,JC Benda,Tanah Tinggi,15500,23000,30500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,JC Kunciran,Benda Utama,22500,33500,45000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,JC Kunciran,Buaran Indah,9000,13000,17500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,JC Kunciran,Jc Benda,27000,41000,54500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,JC Kunciran,Pinang,3000,4500,5500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,Pinang,Benda Utama,19000,28000,37500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,Pinang,Buaran Indah,5000,8000,10500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,Pinang,JC Kunciran,3000,4500,5500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,Pinang,Jc Benda,23500,35500,47000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,Tanah Tinggi,Benda Utama,10500,16000,21000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cengkareng-Batu Ceper-Kunciran,KEPMEN PUPR Nomor 1982/KPTS/M2023,29 Desember 2023,tertutup,Tanah Tinggi,Jc Benda,15500,23000,30500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cibitung - Cilincing Seksi 2 &3,KEPMEN PUPR Nomor 750/KPTS/M/2022,22 Juli 2022,tertutup,Cibitung,Gabus,25500,38000,50500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cibitung - Cilincing Seksi 2 &3,KEPMEN PUPR Nomor 750/KPTS/M/2022,22 Juli 2022,tertutup,Cibitung,Tarumajaya,54000,81000,107500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cibitung - Cilincing Seksi 2 &3,KEPMEN PUPR Nomor 750/KPTS/M/2022,22 Juli 2022,tertutup,Gabus,Cibitung,25500,38000,50500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cibitung - Cilincing Seksi 2 &3,KEPMEN PUPR Nomor 750/KPTS/M/2022,22 Juli 2022,tertutup,Gabus,Tarumajaya,28500,43000,57000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cibitung - Cilincing Seksi 2 &3,KEPMEN PUPR Nomor 750/KPTS/M/2022,22 Juli 2022,tertutup,Gabus,Telaga Asih,20000,30000,40000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cibitung - Cilincing Seksi 2 &3,KEPMEN PUPR Nomor 750/KPTS/M/2022,22 Juli 2022,tertutup,Tarumajaya,Cibitung,54000,81000,107500,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cibitung - Cilincing Seksi 2 &3,KEPMEN PUPR Nomor 750/KPTS/M/2022,22 Juli 2022,tertutup,Tarumajaya,Gabus,28500,43000,57000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cibitung - Cilincing Seksi 2 &3,KEPMEN PUPR Nomor 750/KPTS/M/2022,22 Juli 2022,tertutup,Tarumajaya,Telaga Asih,48500,73000,97000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
Jabodetabek,Cibitung - Cilincing Seksi 2 &3,KEPMEN PUPR Nomor 750/KPTS/M/2022,22 Juli 2022,tertutup,Telaga Asih,Gabus,20000,30000,40000,https://bpjt.pu.go.id/wp-content/uploads/Tarif-Tol-Jabodetabek.pdf
